Track Info,Client,Submit Date,Start Date,Receipts,Date Requested,Service Type,Goal,Remaining,Status,URL,Notes,Confirm Start Date?,Send Receipt(s),Ask Client for Playlist,Invoice
Nash Rly - Til This Party Ends,Dom Records,12/5/2025,12/8/2025,"12/8 - 8.1M
https://influenceplanner.com/planned/calendar/schedule/425d6563-0c9e-4537-93aa-848bb8cef05d

2/9 - 5.2M
https://influenceplanner.com/planned/calendar/schedule/726d3431-1c03-40c7-8490-c13024db2bcc",12/5/2025,Reposts,20000000.0,6700000.0,Active,https://open.spotify.com/album/6PuQvl8MSsW61pMd9e3j3F?si=1&nd=1&dlsi=366b7ca0cf774e22,no playlist received ,,checked,checked,Sent
Traveler - Everest,Traveler,12/9/2025,12/9/2025,"12.9- 8.6M
https://influenceplanner.com/planned/calendar/schedule/9b46cf12-7905-41a3-9f78-f06983b0495b",12/9/2025,Reposts,10000000.0,1400000.0,Active,https://open.spotify.com/track/6iB8GkiDm1eKoheAOqviuP,,checked,checked,checked,Sent
"Zafrir, Mila Journée - Pas",1001Tracklists,12/15/2025,12/17/2025,"12/17 - 5.9M
https://influenceplanner.com/planned/calendar/schedule/7c2f68e3-304f-4de4-a77a-9d5b20fcea5b",12/15/2025,Reposts,17000000.0,11100000.0,Active,https://soundcloud.com/1001tracklists/zafrir-mila-journee-pas,,checked,checked,checked,N/A
When I'm High (ecchi.mp4 remix),Elior Antwi ,12/16/2025,12/18/2025,"12/18 - 8.8M
https://influenceplanner.com/planned/calendar/schedule/ba92ee72-ce85-459d-9323-ee5ae641b540
2/5 - .3M
https://influenceplanner.com/planned/calendar/schedule/3a783be6-abc5-45b9-859c-e2cc0a147aa4",12/17/2025,Reposts,10000000.0,900000.0,Active,https://soundcloud.com/ecchi-mp4/claudia-valentina-when-im-high-ecchimp4-remix-free-download,playlist not sent,,checked,checked,Sent
ERASR - Body,ERASR,12/23/2025,12/25/2025,"12/25 - 7.7M
https://influenceplanner.com/planned/calendar/schedule/af6c890b-95ff-4470-afe5-4921c30013c0",12/23/2025,Reposts,10000000.0,2300000.0,Active,https://soundcloud.com/erasrmusic/body-extended-mix,,,checked,checked,Sent
Madwen - REST OF EP 2M REACH,Madwen,12/12/2025,12/25/2025,,12/24/2025,Reposts,4000000.0,4000000.0,Active,"Rest of EP // 2M reach, release date TBD, put as 12/24. ",,checked,,,Sent
ISOxo - Fuck The Speakerz Up,My Bad,12/25/2025,12/26/2025,"12/27 - 9.4M
https://influenceplanner.com/planned/calendar/schedule/1d0a5685-38c5-4485-97e8-4acb71c7b444",12/26/2025,Reposts,10000000.0,600000.0,Active,https://soundcloud.com/mybadmusic/isoxo-fuck-the-speakerz-up-my-bad-x-soul-valient-remix/s-UiBgxziIGWs?si=e10d0de2dc13493fbba5b874fa8af3a1&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,checked,checked,checked,Pending
Kluster Flux - Love Me Remix,Kluster Flux,12/30/2025,12/30/2025,"14.4M
https://influenceplanner.com/planned/calendar/schedule/4be92b2e-b88b-45bb-8a2c-303c5aedaf42
15.1M
https://influenceplanner.com/planned/calendar/schedule/9fcc2e93-e8c4-4a07-aa6e-3aa9e7c9181f
",12/30/2025,Reposts,40000000.0,11500000.0,Active,https://soundcloud.com/kluster-fluxx/love-me-kf,,,checked,,Sent
Fuze (Blaqout & Subsicc Remix) ,Blaqout,12/30/2025,1/2/2026,"1/2 - 14.4M 
https://influenceplanner.com/planned/calendar/schedule/dc9e04eb-3947-4084-86fb-a96153d47472",12/30/2025,Reposts,18000000.0,3600000.0,Active,https://soundcloud.com/blaqoutdubstep/fuze?ref=clipboard&p=i&c=1&si=F2E35156330043F2B54CFBA3944CEB25&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,,Sent
Emotional Oranges feat TKay - Be Somebody (ribbit & ash me outside flip),phuture,1/7/2026,1/8/2026,"1/8 - 4.6M
https://influenceplanner.com/planned/calendar/schedule/9bd87ec1-3b2c-4caa-ab9c-2335020f0065",1/7/2026,Reposts,5000000.0,5000000.0,Active,https://soundcloud.com/ashmeoutsideofficial/be-somebody-flip,,,checked,,TBD
Levianth - VICTORY LAP 5 x CHINATOWN FREESTYLE,Levianth,1/8/2026,1/8/2026,"1/8- 13.2M
https://influenceplanner.com/planned/calendar/schedule/735b153f-7e59-463e-b08e-781804be0c77",1/8/2026,Reposts,20000000.0,6800000.0,Active,https://soundcloud.com/levianth/victory-lap-5-x-chinatown-freestyle-levianth-edit,,,checked,,
Where Have You Been (Majed Remix),Majed,1/9/2026,1/9/2026,"1/9 - 15.7M
https://influenceplanner.com/planned/calendar/schedule/928f8ee2-dd8a-4ac5-ac62-9b1159b786cd",1/9/2026,Reposts,40000000.0,24300000.0,Active,https://soundcloud.com/theonlymajed/c511b6c1-b2af-4953-8f09-2d1b8e5c3fc3,,,checked,checked,N/A
traveler x luhv - Digital Canopy,Luhv,1/11/2026,1/12/2026,"1/12 - 5M
https://influenceplanner.com/planned/calendar/schedule/fc987e9c-5951-4779-99ad-7866ce360ead",1/11/2026,Reposts,10000000.0,5000000.0,Active,https://on.soundcloud.com/15ckkTqX1QmizwqMn4,,,checked,checked,Sent
Ayybo - Rizz (Sam WOLFE Remix),phuture,1/13/2026,1/14/2026,"1/15 - 4.2M
https://influenceplanner.com/planned/calendar/schedule/c4855841-3812-44e2-b132-ef790e40630b",1/14/2026,Reposts,7000000.0,2800000.0,Active,https://soundcloud.com/samwolfemusic/rizz,,checked,checked,checked,TBD
Kajol - Suffer in Silence,Kajol,12/12/2025,1/21/2026,"1/21 - 7.4M
https://influenceplanner.com/planned/calendar/schedule/3de3f670-2844-408d-87f4-af6bb008bd87",1/21/2025,Reposts,10000000.0,2600000.0,Active,https://soundcloud.com/wublok/suffer-in-silence-v3/s-BKAFoUrZ1rI?si=401b4eb67d50423a96ac04335dc6e74a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,checked,checked,,Sent
Porter Robinson - Language (SAM WOLFE Remix),phuture,1/20/2026,1/21/2026,"1/21 - 4.3M
https://influenceplanner.com/planned/calendar/schedule/53cc2d39-ab8f-4743-b4d9-610ce4865ca3",1/21/2026,Reposts,7000000.0,2700000.0,Active,https://soundcloud.com/samwolfemusic/language,,checked,checked,checked,TBD
Reece Rosé - High Off Your Love,Reece Rosé,1/15/2026,1/23/2026,"1/23 - 4.7M
https://influenceplanner.com/planned/calendar/schedule/e1850be9-0c09-4ba5-b19a-91ca10c3e56d",1/22/2026,Reposts,8000000.0,3300000.0,Active,https://soundcloud.com/djreecerose/reece-rose-high-off-your-love-master-2/s-BrluyBByh5w,,checked,checked,,Sent
Filthy - Timeless [Cyclops Recordings],Filthy,1/19/2026,1/23/2026,"1/23 - 15.3M
https://influenceplanner.com/planned/calendar/schedule/63f52881-7ffc-46ce-937e-ac91e62ed642",1/23/2026,Reposts,20000000.0,4700000.0,Active,https://soundcloud.com/cyclopsrecs/timeless-1/s-apn5Ar6VmgG?in=cyclopsrecs/sets/filthy-the-awakening-sequence-ep//s-aFbg9P8XRTD,,checked,checked,,Paid
404_Hope [Cyclops Recordings],Filthy,1/19/2026,1/23/2026,"1/30 - 8.6M
https://influenceplanner.com/planned/calendar/schedule/233d2c79-aab6-421a-ae68-794bf3cb0d3a",1/23/2026,Reposts,20000000.0,11400000.0,Active,https://soundcloud.com/cyclopsrecs/404_hope-2/s-OzmNvH6GyNG?in=cyclopsrecs/sets/filthy-the-awakening-sequence-ep//s-aFbg9P8XRTD,,checked,checked,,Paid
Defender Of Illusions [Cyclops Recordings],Filthy,1/19/2026,1/23/2026,"2/2 - 9.6M
https://influenceplanner.com/planned/calendar/schedule/f27d7496-c70a-4a3f-826b-285eec9a0840",1/23/2026,Reposts,20000000.0,10400000.0,Active,https://soundcloud.com/cyclopsrecs/defender-of-illusions-3/s-GJK00ExxEzs?in=cyclopsrecs/sets/filthy-the-awakening-sequence-ep//s-aFbg9P8XRTD,,checked,checked,,Paid
Filthy - The Awakening Sequence EP [Cyclops Recordings],Filthy,1/23/2026,1/23/2026,"2/5 - 14M
https://influenceplanner.com/planned/calendar/schedule/e110792b-113e-456e-98d2-d6b56f256a19",1/23/2026,Reposts,20000000.0,10000000.0,Active,https://soundcloud.com/cyclopsrecs/sets/filthy-the-awakening-sequence-ep/s-aFbg9P8XRTD?si=b7b52cb1668248d69b36aa84ab8a1822&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,checked,checked,checked,Paid
Reece Rosé - Change My Mind,Reece Rosé,1/15/2026,1/24/2026,"1/26 - 4.8M
https://influenceplanner.com/planned/calendar/schedule/6ec5253b-f5d1-4652-80fb-33ebf0743180",1/22/2026,Reposts,8000000.0,3200000.0,Active,https://soundcloud.com/djreecerose/reece-rose-change-my-mind-master-4/s-Se5acMGcsFw,,checked,checked,,Sent
Julian Fox - Make You House ,Julian Fox (Julian von Rintelen),1/22/2026,1/26/2026,"1/256 - 4.6M
https://influenceplanner.com/planned/calendar/schedule/91420f1a-f36b-4ea9-80f9-a5483185334e",1/22/2026,Reposts,10000000.0,5400000.0,Active,,,,checked,,Sent
Slowboy - Alienblaze,Aurorian Records,1/28/2026,1/28/2026,"1/28 - 17M
https://influenceplanner.com/planned/calendar/schedule/c59e9463-0d13-4e07-b27e-9fcbd3d9af64",,Reposts,20000000.0,3000000.0,Active,https://soundcloud.com/slowboyyy/sound?si=8c23d3848cca4501bd7a9a6871bf67fc&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,checked,
I Wanna Go (Majed Remix),Majed,1/26/2026,1/28/2026,"1/28 - 13.7M
https://influenceplanner.com/planned/calendar/schedule/56ac9d52-43bb-45ca-a977-1fae8dbd830a",1/26/2026,Reposts,20000000.0,6300000.0,Active,https://soundcloud.com/theonlymajed/majed-i-wanna-go?si=9b74db76f0c84067804c86c81c96a101&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,,N/A
sam wolfe - turn on / turn off the lights,Phuture,1/27/2026,1/28/2026,"2/3 - 1.9M
https://influenceplanner.com/planned/calendar/schedule/ea594743-25bb-4acc-a2f4-9e5f3ae0936e
2/4 - 11.1M
https://influenceplanner.com/planned/calendar/schedule/d15ad47f-b1b1-4609-ac3b-2319f3ed770b
",1/27/2026,Reposts,40000000.0,27000000.0,Active,https://soundcloud.com/samwolfemusic/turn-on-off-the-lights,,,checked,,Paid
MattyInk & ash me outside  - I GET PAID,phuture,1/27/2026,1/28/2026,"1/30 - 5M
https://influenceplanner.com/planned/calendar/schedule/2a02c087-c0ab-4f6a-8f65-2dd9fcd7a98c",1/28/2026,Reposts,5000000.0,0.0,Active,https://soundcloud.com/ashmeoutsideofficial/igetpaid,,,checked,,TBD
OMNOM - Lavender Town,Modern Delivery,1/28/2026,1/28/2026,"1/28 - 6.9M
https://influenceplanner.com/planned/calendar/schedule/bb610069-7424-4186-bc8e-3630dc22f646",1/28/2026,Reposts,20000000.0,13700000.0,Active,"https://soundcloud.com/omnom/lavender-town, https://www.tiktok.com/music/Lavender-Town-7585446190201030672",,,checked,checked,Sent
Filthy // 2026 Showcase ,Filthy,12/19/2025,1/29/2026,"12/29 - 10M
https://influenceplanner.com/planned/calendar/schedule/aa9ce9be-ae14-4bee-94fb-c742390dc766",12/19/2025,Reposts,20000000.0,10000000.0,Active,https://soundcloud.com/filthyboiii/sets/filthy-2026-showcase?si=99c1892d82304788a133c97a0a079c59&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,,Paid
Neyvo - Radio Berlin,Neyvo,1/28/2026,1/29/2026,"1/29 - 2.5M+
https://influenceplanner.com/planned/calendar/schedule/7373c760-38ef-4067-8c12-7e38e0428478",1/28/2026,Reposts,2500000.0,0.0,Active,https://soundcloud.com/radio-berlin/nevyo-radio-berlin-contest?si=f2716761f8a1409ebc2308326cc88763&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,,Sent
Lights Out (Majed Remix),Majed,1/28/2026,1/29/2026,"1/29 - 10M
https://influenceplanner.com/planned/calendar/schedule/0af5a50b-000f-44ff-aedf-a6402d6eebd2",1/28/2026,Reposts,20000000.0,10000000.0,Active,https://soundcloud.com/theonlymajed/john-summit-lights-go-out-majed-remix?si=53520a65b5084d939a50d388e6608c7a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,,N/A
Malone - My Love 4 y,Paul Reed (Friends Of Friends),1/28/2026,1/30/2026,"1/30 - 4.5M
https://influenceplanner.com/planned/calendar/schedule/66caafb9-7752-4775-8bf9-d0624f2515ef",1/30/2026,Reposts,10000000.0,5500000.0,Active,https://soundcloud.com/malonemusicofc/ammo-avenue-malone-my-love-4-u,,checked,checked,,Sent
Nash Rly - Stop Me Fallin ,Tonal,1/30/2026,2/4/2026,"2/4 - 6M
https://influenceplanner.com/planned/calendar/schedule/c8ea7ed2-7334-42e7-8a7e-9165315af6bd",1/30/2026,Reposts,20000000.0,14000000.0,Active,https://open.spotify.com/album/04nX2OQQal62zA9hICovFt,,,checked,,Sent
Traveler - Friendship ,Traveler,2/1/2026,2/4/2026,"2/4 - 5M
https://influenceplanner.com/planned/calendar/schedule/e83efffc-cd39-422f-986f-653acc58a3ad",2/1/2026,Reposts,10000000.0,5000000.0,Active,https://soundcloud.com/travelermusic/traveler-friendship-2026,,,checked,,Sent
Come & Go (Luhv Remix),Luhv,2/1/2026,2/4/2026,"2/4 - 5M
https://influenceplanner.com/planned/calendar/schedule/f35d9797-0208-42ac-9f46-2d65049d20e3",2/1/2026,Reposts,10000000.0,5000000.0,Active,https://on.soundcloud.com/xhJZ376ANTzvhXIxQh,,,checked,,Sent
Lights Go Out - Crumb Pit Remix,Crumb Pit,2/3/2026,2/5/2026,"2/5 - 14.1M
https://influenceplanner.com/planned/calendar/schedule/b7bb2ca6-592b-4fa4-bbd8-2fec440c7480",2/3/2026,Reposts,20000000.0,5900000.0,Active,https://on.soundcloud.com/Ecnm72ahWTJs3fqwtG,,,checked,,Sent
sam wolfe - smack yo (re up),Phulti,1/27/2026,2/5/2026,"2/3 - 6.6M
https://influenceplanner.com/planned/calendar/schedule/c1a560da-f5c1-4477-beb7-b4b6f3127816",2/5/2026,Reposts,35000000.0,28400000.0,Active,https://soundcloud.com/samwolfemusic/smack,,,checked,,Paid
John Alto- What I Feel,TakingMeHigher LLC,2/3/2026,2/6/2026,"2/9 - 6.5M
https://influenceplanner.com/planned/calendar/schedule/e594cde9-f648-4ebc-bd71-ca326cc541e1",2/6/2026,Reposts,20000000.0,13500000.0,Active,https://offtop.com/pack/yaUAAGKCGg,,checked,checked,,Sent
hilary duff - come clean (synova flip),synova,2/5/2026,2/6/2026,"2/6 - 4.3M
https://influenceplanner.com/planned/calendar/schedule/bc358db6-7d4e-4f1f-8205-2c4ad2200340",2/6/2026,Reposts,12000000.0,7700000.0,Active,TBD,,,checked,,TBD
Jones - Good Girl Glitchin,Jack Jones,2/6/2026,2/6/2026,"2/6 - 4.8M
https://influenceplanner.com/planned/calendar/schedule/3393c98a-e350-41bd-b527-d6a2a435f8d8",2/6/2026,Reposts,40000000.0,40000000.0,Active,https://www.dropbox.com/scl/fo/shr0sof7o0xs1npjlfxpl/AHnq4UAZKbNtx6aYpjl5vPY?rlkey=s32mghctzrzzr9edhrz26w2ve&dl=0,,,checked,,Sent
Slowboy - Destruction,Aurorian Records,2/6/2026,2/6/2026,"2/6 - 14.8M
https://influenceplanner.com/planned/calendar/schedule/2e1e8927-f5ad-48ee-84e9-dcce09db7e1f",2/6/2026,Reposts,20000000.0,5200000.0,Active,https://soundcloud.com/slowboyyy/destruction,,,checked,,
sam wolfe - yes bitch vip (re up),Phuture,1/27/2026,2/7/2026,"2/6 - 5.9M
https://influenceplanner.com/planned/calendar/schedule/4b55295d-8280-4e78-ae05-f192500702e3",1/29/2026,Reposts,35000000.0,29100000.0,Active,https://soundcloud.com/samwolfemusic/yes-bitch-soundcloud-w-message,,checked,checked,,Paid
sam wolfe - tainted love remix,phuture,1/27/2026,2/8/2026,"2/10 - 9.1M
https://influenceplanner.com/planned/calendar/schedule/35068ff3-cb25-4e00-ba79-61c9dbdc0f08",2/10/2026,Reposts,40000000.0,30.9,Active,https://soundcloud.com/samwolfemusic/soft-cell-jamie-jones-tainted-love-sam-wolfe-remix/s-nlRFZk8qJW2,not released yet,checked,checked,,Paid
Close Friends - Lights Go Out,Casey - Keel,2/9/2026,2/9/2026,"2/9 - 5M
https://influenceplanner.com/planned/calendar/schedule/a5d34f16-6e6e-4293-a23f-8ec8522e9709",,Reposts,10000000.0,5000000.0,Active, https://soundcloud.com/theclosefriendsonly/lightsgooutremix,,,checked,,
sam wolfe - feel this shit (re up),phuture,2/6/2026,2/9/2026,"2/9 - 10M
https://influenceplanner.com/planned/calendar/schedule/630f98ff-e090-49e6-838c-92136c0ae64c",2/9/2026,Reposts,35000000.0,25000000.0,Active,https://soundcloud.com/samwolfemusic/odd-mob-feel-this-shit-sam-wolfe,,checked,checked,,Paid
Benzo - Lights Go Out,benzo,2/10/2026,2/10/2026,"2/10 - 7M
https://influenceplanner.com/planned/calendar/schedule/d44caaa6-ff7a-46dd-af57-ce457cee72cd

https://influenceplanner.com/planned/calendar/schedule/7bd823db-e52f-4593-9c54-30ca554b6612",2/3/2026,Reposts,7000000.0,0.0,Active,https://soundcloud.com/itsbenzomusic/sets/john-summit-lights-go-out?si=1c808d88431244f294d6e075d8445f78&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,,
CHAOS - Slowboy Remix,Aurorian Records,2/10/2026,2/10/2026,"2/10 - 9.1M
https://influenceplanner.com/planned/calendar/schedule/ccd62f6f-e492-4dee-a467-5d5d5dda4408",2/10/2026,Reposts,20000000.0,10900000.0,Active,https://soundcloud.com/slowboyyy/mustdiechaosremix,,,checked,,