Campaign,Clients,Service Type,Goal,Remaining,Desired Daily,URL,Comments,Start Date,Status,In Fixer?,Views Stalled?,Confirm Start Date?,Ask for Access,Ask Client for YT SS,Client Notes
Odd Language - Monta Radio Mix,Odd Language,LATAM Display,25000,,5000,https://youtu.be/aSK7Y3UHUho,,2/9/2026,Active,,,,,,
"Roddy Lima, Sarah de Warren - LICK IT",Insomniac (Helene),LATAM Website,90000,,14000,https://youtu.be/CdHJ_eazuJk?si=QYm6chSmquA4Lr1E,,2/7/2026,Active,,,,,,
no na - work,88 Rising,WW Website,1000000,,1000000,https://youtu.be/pTE4QhUoUu4,https://docs.google.com/spreadsheets/d/16OMj6WKJyZrzYpcGQLo_o9xActw1aJvqcDPcKKjFuE0/edit?usp=sharing,2/5/2026,Active,checked,,,,,
idk - Zane Lowe Interview,IDK,WW Display,50000,,5000,https://www.youtube.com/watch?v=beKD3XSWcRc,https://docs.google.com/spreadsheets/d/1T4opcJMpvZeilY2HfnJHE8nk-4ucJ5UHjEl-rtTK_88/edit?usp=sharing,2/3/2026,Active,checked,,,,,
Boi Angel - Friday Night,Pick Six Records,WW Skip,175000,,0,https://youtu.be/1INJ-kE7IGs,https://docs.google.com/spreadsheets/d/1qj6KLJedXFepObshSZ7bojfFZoG82b1MvfsElpzTN70/edit?usp=sharing,1/26/2026,Active,checked,,,,,
Odd Language - Contact,Odd Language,LATAM Website,25000,,0,https://youtu.be/RdM0S4ZHEBc,https://docs.google.com/spreadsheets/d/12LnORTxoVnVeeS-feKNILNFVzXcoJrFtzBbxZixf6Sw/edit?usp=sharing,1/26/2026,Active,checked,,,,,
Miyachi - AI Chan,BetterVibesOnly LLC,Custom,100000,,0,https://youtu.be/WUlMjK_VKhA,https://docs.google.com/spreadsheets/d/1SJ0L90V4h-M575AUOqdeYpo8Z-2wdGMLXBhavDPXRiA/edit?usp=sharing,1/22/2026,Active,checked,,,,,ASIA Skip
Miyachi - AI Chan,BetterVibesOnly LLC,WW Skip,150000,,0,https://youtu.be/WUlMjK_VKhA,https://docs.google.com/spreadsheets/d/1SJ0L90V4h-M575AUOqdeYpo8Z-2wdGMLXBhavDPXRiA/edit?usp=sharing,1/22/2026,Active,checked,,,,,
Neon Pony - Alaska Mix,Neon Pony,Custom,70000,,0,https://youtu.be/QpfLBnNN7nQ,https://docs.google.com/spreadsheets/d/1pvGtdBikbXJgrf6neGy_RM6b7taU9f9ST990SKfqwxI/edit?usp=sharing,1/20/2026,Active,checked,checked,,,,
Neon Pony - Alaska Mix,Neon Pony,WW Display,250000,,0,https://youtu.be/QpfLBnNN7nQ,https://docs.google.com/spreadsheets/d/1pvGtdBikbXJgrf6neGy_RM6b7taU9f9ST990SKfqwxI/edit?usp=sharing,1/20/2026,Active,checked,checked,,,,
Space Laces TrueView - Vaultage 004,Shalizi Group,WW Display,145000,,0,https://www.youtube.com/watch?v=nUA5JOT1_xY,https://docs.google.com/spreadsheets/d/1ViyBBMmIDSdd5CoVVcwgqUyTnPqKaQGqpB_nrU9eSOQ/edit?usp=sharing,1/20/2026,Active,checked,,,,,
LNGSHOT - Saucin',Transparent Arts,WW Website,2500000,,0,https://youtu.be/GFRu5ea_klk,https://docs.google.com/spreadsheets/d/1Xbrvi8fgwAhjxBbk9nIxeF00nTg8miKX_om9Mgp3t6k/edit?usp=sharing,1/14/2026,Active,checked,,,,,
Odd Language Live at NOVA SD NYE 2026,Odd Language,WW Display,45000,,0,https://www.youtube.com/watch?v=NCuAYvrUJyw&feature=youtu.be,https://docs.google.com/spreadsheets/d/1GYffPcJpPgLbbirKN31qK3yIYkvq_UpsvAIsPUGBiKs/edit?usp=sharing,1/14/2026,Active,checked,,,,,
 RayRay - LIVE @ 'Currently On Earth' EP Release Party,Dim Mak,LATAM Display,18000,,5000,https://youtu.be/HLMf6kUPZkE?si=aGZZ3YgrOogNKLNj,Please put into the comment sheet column 'NO COMMENTS PLS',1/2/2026,Active,checked,,,,,
Steve Aoki & KAAZE - Head Rush,Dim Mak,LATAM Display,35000,,8000,https://www.youtube.com/watch?v=X9JHGPPkAi4,https://docs.google.com/spreadsheets/d/127j6upIg2SCAqnD-23fPv7pMXxFNt3jtOwPi1txHQXI/edit?usp=sharing,12/19/2025,Active,checked,,,,,
Steve Aoki & KAAZE - Self Control,Dim Mak,LATAM Display,18000,,8000,https://www.youtube.com/watch?v=9yMDHh-T48k,https://docs.google.com/spreadsheets/d/11doNP96nbo_IB1cznDpfYPOA4pVvzVlj5iiOC-1PbBA/edit?usp=sharing,12/19/2025,Active,checked,,,,,
Wacotron - Next Life ,Pick Six Records,WW Website,175000,,43750,https://www.youtube.com/watch?v=2A5cM935-8A,https://docs.google.com/spreadsheets/d/1TYiAfxSWNkk9sCyKB3yI6-zpYgsDowKM1dOFUTQIj_k/edit?usp=sharing,12/5/2025,Active,checked,,,,,
Mark Tuan - Sunsets & Cigarettes,Transparent Arts,WW Skip,1000000,,200000,https://www.youtube.com/watch?v=fDMFONaXAso&list=RDfDMFONaXAso&start_radio=1,https://docs.google.com/spreadsheets/d/1sokTF0rQD77-Lao2EClFARdNlWn9M2LRsqDBr7hEr64/edit?usp=sharing,12/4/2025,Active,checked,,,,,
Underbrook - Headlights ,Shalizi Group,US Website Ads,40000,,10000,https://www.youtube.com/watch?v=Kx_iS493Ens,https://docs.google.com/spreadsheets/d/1rruQw-VguOCdrSHOKVzg_Muti-VMqv481Npx40sLR0o/edit?usp=sharing,11/24/2025,Active,checked,,,,,
Underbrook - Headlights ,Shalizi Group,EUR Display,45000,,11000,https://www.youtube.com/watch?v=Kx_iS493Ens,https://docs.google.com/spreadsheets/d/1rruQw-VguOCdrSHOKVzg_Muti-VMqv481Npx40sLR0o/edit?usp=sharing,11/24/2025,Active,checked,,,,,
MrGetTheBag - Manifested,Cash Me Out Records LLC,WW Skip,500000,,35000,https://youtu.be/yvzCe0CXGD8,https://docs.google.com/spreadsheets/d/1vocR9Xvb3NkmIdPurh3jEQEAkkzz0IArYu1aMQOQc2Q/edit?usp=sharing,11/21/2025,Active,checked,checked,,,,
GOODBOYS: LINKED #0007 DJ SET,Goodboys Music Ltd ,ENGAGEMENTS ONLY,14000,0,900,https://www.youtube.com/watch?v=kz-bUxWHVtg&t=4s,https://docs.google.com/spreadsheets/d/17r1dbaktSYJRXQY0CpbdNx48tPVVX3P3yYpTxFI0gAk/edit?usp=sharing,11/19/2025,Active,,,,,,"YouTube | Engagements only - 10k-14k likes, 150-250 comments | $200"
Mark Tuan - Sunsets & Cigarettes Re-Up,Transparent Arts,WW Skip,1500000,,250000,https://www.youtube.com/watch?v=fDMFONaXAso&list=RDfDMFONaXAso&start_radio=1,https://docs.google.com/spreadsheets/d/1sokTF0rQD77-Lao2EClFARdNlWn9M2LRsqDBr7hEr64/edit?usp=sharing,11/17/2025,Active,checked,,,,,
**James Brown & Laidback Luke “I Got Soul,Dim Mak,WW Skip,120000,,10000,https://www.youtube.com/watch?v=sY-fv4EmmfY,https://docs.google.com/spreadsheets/d/1J6qqw9RIC4zbCJ2Vi6KV9Yzhx5DaqjL0PAT_IKmOFSA/edit?usp=sharing,11/7/2025,Active,checked,checked,,,,
Wacotron - Best Rapper Alive,Pick Six Records,US Website,25000,,700,https://youtu.be/Rd-VK1zor_8,https://docs.google.com/spreadsheets/d/1nHOKKpMzTwk-OnaUkwAqf7ICu7cUHsZ68hR4MuM4fH8/edit?usp=sharing,11/7/2025,Active,checked,,,,,
Wacotron - Best Rapper Alive,Pick Six Records,WW Skip,125000,,30000,https://youtu.be/Rd-VK1zor_8,https://docs.google.com/spreadsheets/d/1nHOKKpMzTwk-OnaUkwAqf7ICu7cUHsZ68hR4MuM4fH8/edit?usp=sharing,11/7/2025,Active,checked,,,,,
Wacotron - Make Friends,Shalizi Group,WW Skip,100000,,5000,https://youtu.be/XjZ6-5xSSUg,https://docs.google.com/spreadsheets/d/1bgG2o_mKsjBcq5Ft485e9H6Oaa5n1NSX863VPoUm0eA/edit?usp=sharing,11/7/2025,Active,checked,checked,,,,
MrGetTheBag - Built Like This,Cash Me Out Records LLC,WW Skip,500000,,35000, https://youtu.be/pb0dcjD3EBc,https://docs.google.com/spreadsheets/d/1Uf8uC0_IQ1MA9ZVX0ayB5nCMg2xGUvc8qnGnnNagtYU/edit?usp=sharing,11/6/2025,Active,,,,,,
Major Lazer - Bruk Down,"""Mad Decent Protocol, LLC""",WW Skip,1000000,697940,100000,https://www.youtube.com/watch?v=SjEpBsqHl2Y&list=RDSjEpBsqHl2Y&start_radio=1&pp=ygULbWFqb3IgbGF6ZXKgBwE%3D,https://docs.google.com/spreadsheets/d/1zBtfIPS8R-mOBTq0l1A_KbDA2NFeFtHyn1jw4ONl2Jk/edit?usp=sharing,10/27/2025,Active,,,,,,
Proppaganda - Aerial Sessions,PROPPAGANDA,"7k likes,300 com",,,,https://youtu.be/22cEYhJpf_I?si=omo_5tLAmZQi-RFa,https://docs.google.com/spreadsheets/d/11aWu5s7DRVMuy45TA1FvRsL1VskV1aBeNzP_Jq4o1JQ/edit?usp=sharing,8/14/2025,Active,checked,,,,,
Proppaganda - Shark Mix,PROPPAGANDA,"8k likes, 400 coms",,,,https://www.youtube.com/watch?v=LtP7GOyq_ew&list=RDLtP7GOyq_ew&start_radio=1,https://docs.google.com/spreadsheets/d/1cotJ-IVjme87m3Zg6MypGjk10_UdeVMapfnblRY-nSo/edit?usp=sharing,8/14/2025,Active,checked,,,,,
Proppaganda - Shark Mix,PROPPAGANDA,"8k likes, 400 coms",,,,https://www.youtube.com/watch?v=LtP7GOyq_ew&list=RDLtP7GOyq_ew&start_radio=1,https://docs.google.com/spreadsheets/d/1cotJ-IVjme87m3Zg6MypGjk10_UdeVMapfnblRY-nSo/edit?usp=sharing,8/14/2025,Active,checked,,,,,