client_name,campaign_name,goal,remaining,daily,weekly,url,sale_price,start_date,status,vendor,curator_status,playlists,notes,last_modified,sp_vendor_updates,spotify_campaign
"Reece Rosé","Reece Rosé - Back Back",50000,0,0,0,"https://soundcloud.com/djreecerose/reece-rose-back-back/s-PdzbyksDCHM?si=b2d03e5cbb4e4d76a2b204618a0fc547&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"10/9/2025","Active","Club Restricted","","","","","",""
"Reece Rosé","Reece Rosé - Everything I Need",50000,0,0,0,"https://soundcloud.com/djreecerose/everything-i-need-radio-edit/s-xSJcEmbhdhD?si=83c6fdcd466c48efa4a090cdf5bc9834&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"9/25/2025","Pending","Club Restricted","","","","","",""
"Charcom","Charcom - I'll Be There",20000,0,0,0,"https://soundcloud.com/charcom16/ill-be-there-radio-edit/s-eCjBnZkKysn?si=60476f6ecb0546e29ba391d71194c3dd&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"9/26/2025","Active","Club Restricted","","","","","",""
"8BLADES","8Blades - Throw The Dice",10000,0,0,0,"https://soundcloud.com/8blades/throw-the-dice/s-GKOhNk1wgw2?si=bb753b9d6a2b4794be10dca380d49616&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"9/22/2025","Unreleased","Golden Nugget","","","","","",""
"Dim Mak","Crumb Pit & Emilia Ali - I'm 2 Weak",12000,0,0,0,"https://dimmak.box.com/s/jig4vtv6q99embtok16grr67y7ntajc2",0,"9/19/2025","Active","Club Restricted","","","","","",""
"Dim Mak","Thomas Gold - Set Me Free",5000,5000,0,0,"https://open.spotify.com/track/0Or3Fgzkwg05zx0X83BG9V",0,"8/1/2025","Active","Alekk","Accepted","- IBIZA TECHNO HOUSE 2025","","7/31/2025 5:47pm","",""
"Dim Mak","GONE ASTRAY, WHOISJAYE - Make Believe",15000,15000,0,0,"https://open.spotify.com/track/2PWg2jPoQNlusbXZkGsMVg",0,"7/11/2025","Active","Glenn","Accepted","- Electronica Vieja Exitos [NEW]","","7/11/2025 2:36pm","",""
"Dim Mak","Z3LLA - Pick Up The Tempo",17000,17000,0,0,"https://open.spotify.com/track/67gU1a7O4sc7V1yhMVtFTn",0,"7/11/2025","Active","Glenn","Accepted","- RAVE PARTY 2025 [NEW]","","7/11/2025 2:33pm","",""
"Dim Mak","Mike Posner - Cooler Than Me (Getter Remix)",5000,5000,0,0,"https://open.spotify.com/track/5p5dBk013zqQqZXwyFStEX",0,"5/30/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","5/30/2025 2:42pm","",""
"Afterparty","Bar Fight - AfterParty x Rvnbaek",10000,0,0,0,"https://open.spotify.com/album/4GyVUHWFaNMzgYDNAnqB4k",0,"9/19/2025","Active","Golden Nugget","","","","","",""
"Afterparty","Afterparty - The Call",10000,-225,70,420,"https://open.spotify.com/track/1aPyG6lCqudIIHqbHyP7mg?si=mZsY3W7kTKWrijZgkn_2Og",0,"2/12/2025","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","6/5/2025 2:49am","",""
"Bijan M","DELATO, 7KY & RYA - Lucky You",10000,0,0,0,"https://www.dropbox.com/scl/fo/883ylxmmroone62nrzj4d/AAGivvVWytdh7tYFP72xGbM?rlkey=mmaf11pvq9e3qgolpb8fqljr7&st=yaq8dca7&dl=0",0,"9/19/2025","Unreleased","Club Restricted","","","","","",""
"Bijan M","DELATO, 7KY & RYA - Lucky You",10000,0,0,0,"https://www.dropbox.com/scl/fo/883ylxmmroone62nrzj4d/AAGivvVWytdh7tYFP72xGbM?rlkey=mmaf11pvq9e3qgolpb8fqljr7&st=yaq8dca7&dl=0",0,"9/10/2025","Active","House Views","","","","","",""
"Shalizi Group","SCRIPT - Mr. Rager",50000,0,0,0,"https://open.spotify.com/track/1iju7dFpAesm5dhNkUAt6g?si=cbfa86022a734c7e",0,"9/19/2025","Active","Club Restricted","","","","","",""
"Shalizi Group","SCRIPT - Mr. Rager",50000,0,0,0,"https://open.spotify.com/track/1iju7dFpAesm5dhNkUAt6g?si=cbfa86022a734c7e",0,"9/19/2025","Active","Glenn","","","","","",""
"Segan","Segan - Tempo",25000,0,0,0,"https://on.soundcloud.com/MCQsBFq3hhckMj4gg3",0,"9/19/2025","Unreleased","Club Restricted","","","","","",""
"Segan","Segan - DNBMF",35000,23011,494,2816,"https://open.spotify.com/track/0LfS8z5VUqkD9WlMLOZskY",0,"8/8/2025","Active","Club Restricted","Accepted","- GYM - TEMAZOS MOTIVACION 2025 [NEW]","Drum and Bass PLEASE","9/18/2025 2:14pm","",""
"Star Williams + PatrickReza","Star Williams - Stupid Love",18000,0,0,0,"https://open.spotify.com/track/6JbtlDvL2re3cHO1o9eaNC",0,"9/19/2025","Active","Glenn","","","","","",""
"Star Williams + PatrickReza","Star Williams - Stupid Love",20000,0,0,0,"https://soundcloud.com/patrickreza/stupidlove/s-OxJ5u4yXuE3",0,"9/19/2025","Active","Club Restricted","","","","","",""
"Star Williams + PatrickReza","Star Williams - Stupid Love",20000,0,0,0,"https://soundcloud.com/patrickreza/stupidlove/s-OxJ5u4yXuE3",0,"9/19/2025","Pending","Club Restricted","","","","","",""
"Right Call","The All-American Rejects - Search Party",250000,0,0,0,"https://open.spotify.com/track/2G348SqVbsQYYvCsQpLpnY",0,"9/19/2025","Active","Glenn","","","","","",""
"Right Call","The All-American Rejects - Search Party",519000,0,0,0,"https://www.dropbox.com/scl/fi/tovy8xmwvfg2cub3cxi78/SEARCH-PARTY_MIX-1-voc-up-inserts-250527_-eq-6-2-96Khz-24Bit.wav?rlkey=l4nz86bcuf37u9meq1h87ie0h&e=1&st=g13zq4bj&dl=0",0,"9/19/2025","Active","Club Restricted","","","","","",""
"The Big Blind","The Big Blind - Dancing With My Demons",20000,0,0,0,"https://open.spotify.com/track/5JbdBzO08p7fDFaNILxWkj?si=fa6ecea0b7924aab",0,"9/18/2025","Active","Club Restricted","TBD","","Avoid Phonk/Workout Playlists :)","","",""
"The Big Blind","The Big Blind - I Still Don't Know Why",20000,0,0,0,"https://soundcloud.com/the-big-blind/still-dont-know-why/s-h849su8R8Ho?ref=clipboard&p=i&c=1&si=A672FD36D1C44957A610D703089879F4&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"7/30/2025","Pending","Club Restricted","Accepted","","Just avoid workout and Phonk playlists please.","","",""
"The Big Blind","Mr. Tincho & The Big Blind - I Don't Need It",5000,3786,14,157,"https://open.spotify.com/track/4YBJglFQJvKTVYH534iAs2?si=b36ca9f6e2b946a6",0,"7/25/2025","Active","Club Restricted","Accepted","- Hits 80's y 90's [NEW]","Avoid workout playlists please. If possible, preferred location is Spain, that is where both artists are based in.","9/18/2025 1:43pm","",""
"Birdsall","Birdsall - Afters",30000,0,0,0,"https://open.spotify.com/track/6uP0nzronDSxjRkqMLGZfi",0,"9/17/2025","Active","Club Restricted","TBD","","","","",""
"dack janiels","Insidius - Sweet Suffering",5000,0,0,0,"https://open.spotify.com/track/6ZMgo0KA3BC94bD41q4Ysv",0,"9/17/2025","Active","Golden Nugget","","","Waiting on Spotify Link --> hit up Jared","","",""
"dack janiels","Dack Janiels - Chat To Me",10000,6294,32,247,"https://open.spotify.com/track/3rVn268gtCq7wQl6TonOEg",0,"6/13/2025","Active","Moon","Accepted","- BEST DUBSTEP OF ALL TIME [NEW]","","9/18/2025 10:40am","",""
"dack janiels","Dack Janiels - Chat To Me",10000,10000,0,0,"https://open.spotify.com/track/3rVn268gtCq7wQl6TonOEg",0,"6/13/2025","Active","Levianth","Accepted","","","6/14/2025 6:42pm","",""
"dack janiels","Dack Janiels - Circadian Riddim",10000,1536,47,317,"https://open.spotify.com/album/10k841H02MM0yjVdObkE6z?si=Z1nGbqy5TeqJrSK2wZEbFw",0,"5/6/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/18/2025 10:41am","",""
"dack janiels","Dack Janiels - Shock Therapy",100000,80831,45,288,"https://open.spotify.com/track/23qcYNm5ncqa2atmkSK63J",0,"4/4/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/18/2025 10:46am","",""
"dack janiels","Dack Janiels - Depression Dub",10000,-100,0,0,"https://open.spotify.com/track/465zBiserSbOSidTDMSzz9",0,"1/23/2025","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","4/2/2025 10:00pm","",""
"Andrea Botez","Andrea Botez - Lights",20000,0,0,0,"https://open.spotify.com/track/3D5Kztz2QWHnQbn3OVXkAs",0,"9/12/2025","Active","Glenn","TBD","","https://open.spotify.com/artist/2Csf1qoijHi5nMt2mMJcjd - need SFA","","",""
"Andrea Fiamberti","M•SOL & AYKO - Dance on my Own",10000,0,0,0,"https://open.spotify.com/track/3f17bkGqd9E9JnceqVWLAQ",0,"9/12/2025","Active","Club Restricted","","","","","",""
"Andrea Fiamberti","ORCASOUND - Kiki (PiNUS & Timix Remix )",10000,0,0,0,"https://www.dropbox.com/scl/fo/8xdawzy9crmp6jrc3kwsn/AAoAED3dqQ4KYMSSYpytd_M?rlkey=03vly83qbisty5rkccuwt0mev&st=mpnnytz7&dl=0",0,"8/25/2025","Active","Club Restricted","Accepted","- Lagu Dj TikTok Terbaru 2025 [NEW]","","","",""
"Poni - Hollow Eyes","Poni - Hollow Eyes",10000,0,0,0,"https://open.spotify.com/track/5Hll0VnfUadaDUMy8EESlx?si=aba3b0e24bc54cb6",0,"9/12/2025","Cancelled","","","","","","",""
"Sophy Winter","Sophy Winter - The Butterfly Effect",20000,19856,123,144,"https://open.spotify.com/track/39Lx4OkM2rGj1fnQ0v5yBs",0,"9/12/2025","Active","Club Restricted","Accepted","- tiktok football edits [NEW]","Please make sure song is pitched ahead of release","9/18/2025 8:17pm","",""
"It's A Ten Records","Yung Pooda - Night Talks With God",500000,0,0,0,"https://soundcloud.com/artistinfluence/ntwg-explicit/s-MzRMcQuXHJ7?si=87ed4bd8dfc44c478436f0fe6e5f922b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"9/12/2025","Active","Club Restricted","TBD","","","","",""
"It's A Ten Records","Yung Pooda - Pop Yo Shit Shawty",15000,-979,326,2306,"https://open.spotify.com/track/16lTsrXXxbwPW2YvdLvuon",0,"5/23/2025","Complete","Glenn","Accepted","- Rap 2025","","9/4/2025 3:18pm","",""
"illadelph","illedelph - the way it was",10000,0,0,0,"https://open.spotify.com/track/1Q1dJbo4IJnlHyhIuptAxe?si=M1ndgnuTQT6kzE3AT2tTNQ",0,"9/10/2025","Active","Club Restricted","Accepted","","","","",""
"TGUT","TGUT - GTFOTW",20000,0,0,0,"https://youtu.be/XpXEK4YlENU",0,"9/9/2025","Paused","Levianth","","","","","",""
"CC Recordings LLC","Duke & Jones - Sugar Honey",5000,3470,133,801,"https://open.spotify.com/track/4sl3SgUSBAOv3sm4eZsvjR",0,"9/5/2025","Active","Alekk","Accepted","- IBIZA TECHNO HOUSE 2025 [NEW]","","9/18/2025 11:07am","",""
"Lysergix","Lysrgix - Get Down",5000,0,0,0,"https://soundcloud.com/lysrgix/lysrgix-get-down-6/s-U0LfaVrm23v?ref=clipboard&p=i&c=1&si=8688C32482CF487ABFB023BE27EB801A&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"9/5/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS [NEW]","First song on spotify, so waiting on profile","9/18/2025 1:22pm","",""
"Lysergix","Lysrgix - Get Down",5000,4750,44,250,"https://soundcloud.com/lysrgix/lysrgix-get-down-6/s-U0LfaVrm23v?ref=clipboard&p=i&c=1&si=8688C32482CF487ABFB023BE27EB801A&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"9/5/2025","Active","Moon","Accepted","- BEST DUBSTEP OF ALL TIME [NEW]","First song on spotify, so waiting on profile","9/18/2025 1:22pm","",""
"Hitskope","Matt B - ALKEBULAN II",70000,0,0,0,"https://open.spotify.com/album/2IXkcoSAZvPmQt8WKinJ8q?si=W161N__nRnKM6yvJDg3l0A",0,"9/4/2025","Active","Club Restricted","Accepted","","Spotify | 70k | $1,000","","",""
"Hitskope","Chuck Leah - I Don't Know How To Say Goodbye",17500,12914,433,3522,"https://open.spotify.com/track/1qtXRv9xLbUIsR4PDjZq0Q",0,"9/2/2025","Active","Club Restricted","","- The Rolling Stones Greatest Hits [NEW]","35k - Which song out of the album?","9/18/2025 10:18am","",""
"Disentr","disentr- feel the beat",10000,0,0,0,"https://open.spotify.com/track/6Bxv4JXjAtEgKH3cospXVb?si=9a8d7f96262c4eaf",0,"8/29/2025","Cancelled","","","","","","",""
"KLOWN","KLOWN - Got Dat",7000,0,0,0,"https://open.spotify.com/track/4kuQ79BmcSLDxaHq5E3hli?si=c9438cfa3ea246b1",0,"8/29/2025","Active","Moon","TBD","","","","",""
"KLOWN","KLOWN - Dejavu",7000,7000,0,0,"https://open.spotify.com/track/5a7ho2dcQXZCkxBwSIC0QW",0,"8/22/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS [NEW]","","9/11/2025 5:08pm","",""
"Harel","Harel - god forbid I catch a vibe",10000,4653,316,1915,"https://open.spotify.com/track/5aNI9EzRT7QFSATJoDlyhF",0,"8/22/2025","Active","Club Restricted","Accepted","- GYM - TEMAZOS MOTIVACION 2025 [NEW]","us preferred / edm / tech house (high paying prospective client)","9/18/2025 11:35am","",""
"Harel","Harel - god forbid I catch a vibe",10000,0,0,0,"https://open.spotify.com/track/5aNI9EzRT7QFSATJoDlyhF",0,"8/22/2025","Active","Glenn","TBD","","us preferred / edm / tech house (high paying prospective client)","","",""
"Lani Daye","Lani Daye - falling down",15000,9560,282,2120,"https://open.spotify.com/track/1k7xwk1bIoovNB5xDS1OWR?si=34415175b64c47c0",0,"8/22/2025","Active","Club Restricted","Accepted","- frank ocean best songs [NEW]","Spotify Profile: https://open.spotify.com/artist/1fYnA1IkOOJ3mtWl02xKk3?si=EobmHUHhSmOxmxVbo2rQBg","9/18/2025 12:25pm","",""
"Karma, Kalypso Records LLC","Karma - As the Rush Comes",15000,10233,433,2582,"https://open.spotify.com/track/4FHUIKeUi4NZkjBx2wJSuZ?si=7adf0ac3e9a44693",0,"8/19/2025","Active","Glenn","Accepted","- RAVE PARTY 2025 [NEW]","https://open.spotify.com/artist/68wToUbLTGUo7CdzSll22h","9/18/2025 11:58am","",""
"Sunni D","Sunni D - Abysscode",12000,11865,6,39,"https://open.spotify.com/track/7prcTaFqPlbmUcwdDOpy6Y?si=8523475d086d4634",0,"8/15/2025","Active","Club Restricted","Accepted","- Heavy Bass Beats [NEW]","","9/18/2025 2:28pm","",""
"Sunni D","Sunni D - Abysscode",13000,13000,0,0,"https://open.spotify.com/track/7prcTaFqPlbmUcwdDOpy6Y?si=8523475d086d4634",0,"8/15/2025","Active","","Denied","","","8/19/2025 2:48pm","",""
"Sunni D","Sunni D - Filthy",10000,4094,44,324,"https://open.spotify.com/track/55n4X8rMMlTFwxHVI5ijD8",0,"4/25/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/18/2025 2:30pm","",""
"Brayell","Brayell - Merry Go",10000,1527,273,2027,"https://open.spotify.com/album/4xYpzQzuM8Wn8AEKXkw7c9?si=seNbzneKQJmTo0eGBFG8Ag",0,"8/12/2025","Active","Club Restricted","Accepted","- Frank ocean best songs [NEW]","US/EU preferred","9/11/2025 2:57pm","",""
"Exodus Era","Exodus Era - Beachside Vibrations",5000,4406,69,300,"https://open.spotify.com/album/0yswlDyZIHOfidTOgfkPC8?si=nMz76UlTTsK2dgoj4uwjRw",0,"8/8/2025","Active","Moon","Accepted","- Best Dubstep of All Time [NEW]","I would pitch to Moon and then CRP, if not then go to Leviant and we'll make a trade.","9/18/2025 11:14am","",""
"Exodus Era","Exodus Era - Continuity Error",10000,10000,0,0,"https://open.spotify.com/track/3QILsRihHn4oMeDoHTxTLQ",0,"7/11/2025","Active","","","","I would pitch to Moon and then CRP, if not then go to Leviant and we'll make a trade.","7/11/2025 2:27pm","",""
"Filthy","Filthy - DoubleDash",5000,2476,58,405,"https://open.spotify.com/track/2Hi3RjH7mxw3OaIVsjPZQ7",0,"8/5/2025","Active","Moon","Accepted","- BEST DUBSTEP OF ALL TIME [NEW]","","9/18/2025 11:23am","",""
"Filthy","STVNK FVCE, Monkoz - Mossin",25000,4450,50,430,"https://open.spotify.com/track/63M45Cs1aFidKB2lSqRtEE?si=_xLMwa2RT4O9gVai8l3szA",0,"1/20/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/18/2025 2:27pm","",""
"Filthy","KAMAS - SMOKE",10000,-100,100,600,"https://open.spotify.com/album/65dPRxHaKYpIe3Fyv7olfG?si=bqjsb9HzQReagD34a6_k4Q",0,"1/10/2025","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","3/11/2025 2:31pm","",""
"Filthy","Filthy - Final Retribution",10000,-700,0,2220,"https://open.spotify.com/track/26gwy3Iknut55Jn1g5ht7S",0,"1/7/2025","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","2/5/2025 5:29pm","",""
"Filthy","Filthy - Final Retribution",10000,-1000,100,900,"https://open.spotify.com/track/26gwy3Iknut55Jn1g5ht7S",0,"1/4/2025","Complete","Moon","Accepted","- BEST DUBSTEP OF ALL TIME","Artist still not showing in SFA","2/25/2025 10:40pm","",""
"Filthy","Filthy - Caged Within",50000,19300,40,150,"https://open.spotify.com/track/6XInqwK63Y0QbHYxphZr3i",0,"12/2/2024","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/18/2025 11:22am","",""
"Filthy","VRG - Delusional",10000,-50,0,400,"https://open.spotify.com/track/39a5LaJArgBH0S5GpKbam4",0,"10/18/2024","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","12/10/2024 1:28pm","",""
"Filthy","KRYTURE - Portals",10000,-200,0,0,"https://open.spotify.com/track/4BBVX1PFQE3Q5adwnTglm5",0,"9/27/2024","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","4/2/2025 10:09pm","",""
"Filthy","Filthy - Spectral Abduction",20000,3400,0,0,"https://open.spotify.com/track/2J28FIA6miRh8M5OppDRa2",0,"7/15/2024","Complete","Club Restricted","Accepted","- Most Popular","","4/2/2025 7:42pm","",""
"Filthy","Humansion - Arena of Death",10000,-1800,0,0,"https://open.spotify.com/track/7nZYtwOAhw04mPF2VmZRSr?si=M1tB2bURSimTlZSQgLla4w&context=spotify%3Asearch%3Ahumansion%2Bkamas",0,"6/19/2024","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","4/2/2025 6:53pm","",""
"Filthy","Filthy - Transceptor",20000,10000,300,1300,"https://open.spotify.com/track/4ulVQPLBM0PB4ftSshYslR",0,"3/18/2024","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","8/20/2024 10:20pm","",""
"Filthy","Filthy - Tranceptor",35000,2200,0,100,"",0,"12/13/2023","Complete","Glenn","Accepted","","","4/2/2025 4:37pm","",""
"Peter Don","Cole Knight - Like That",3000,1030,350,1925,"https://open.spotify.com/track/2wX9TgK9Dba7d4EY1w9i1i?si=3448f86c5b634d29",0,"8/4/2025","Active","Club Restricted","Accepted","- GYM - TEMAZOS MOTIVACION 2025 [NEW]","","9/12/2025 2:38pm","",""
"A Dying Light","A Dying Light - Needed U",100000,0,0,0,"https://open.spotify.com/album/70t1UhfWqR40Vx6ZQ6qZAZ?si=WZLTdCCCQwei_y1Kq-U13A",0,"8/1/2025","Cancelled","","Denied","","Spotify | 45k sp | $750","","",""
"Blanke","Blanke, Linney - How It Feels",15000,-437,412,2313,"https://open.spotify.com/track/6wrfjapgdCBiKvLDuqJKTW",0,"7/18/2025","Complete","Glenn","Accepted","- Morning Energy Boost","Try to split between Glenn and CRP, 20k for CRP","8/21/2025 3:10pm","",""
"PROPPAGANDA","PROPPAGANDA - Aerial",10000,6670,49,374,"https://open.spotify.com/track/6tUEDYPEJBJg4cTLEDed3U",0,"7/15/2025","Active","Glenn","Accepted","- Berghain Techno 2025 [NEW]","","9/18/2025 2:02pm","",""
"Confession","Esse - Work It",10000,-1803,459,1813,"https://open.spotify.com/track/1t2ESRg2lCWUSAU45DPSkL",0,"7/11/2025","Complete","Glenn","Accepted","- Tecno house 2025 [NEW]","US/EUR playlists - JARED TO ADVISE","8/14/2025 1:04pm","",""
"Kryture","Kryture - AETHERBORN",5000,5000,0,0,"https://open.spotify.com/track/7wf5HLu7MIPZHvPgYp9T6P",0,"7/11/2025","Cancelled","","","","Asked to not have India Listeners","7/11/2025 2:27pm","",""
"Phuture Collective","living proof - brostep warrior",5000,0,0,0,"https://open.spotify.com/album/4oEgkPiDTI2nYZ4kj5QMek",0,"7/11/2025","Active","Moon","Accepted","- BEST DUBSTEP OF ALL TIME [NEW]","","9/18/2025 1:21pm","",""
"Phuture Collective","tink - talk and forget",5000,2046,38,277,"https://open.spotify.com/track/2nXMRDILLQFjFhSX9UVywG?si=fa65bdcabbd44666",0,"7/11/2025","Active","Moon","Accepted","- BEST DUBSTEP OF ALL TIME [NEW]","","9/18/2025 2:49pm","",""
"Phuture Collective","cut rugs - pants",5000,134,81,417,"https://open.spotify.com/track/1D3zpgixWQrSsNPeKKrT9U?si=1529592f79cb40cc",0,"7/1/2025","Active","Club Restricted","Accepted","- SIGMA MALE TIKTOK [NEW]","","9/18/2025 10:35am","",""
"Phuture Collective","ritual x - acid",10000,-903,101,570,"https://open.spotify.com/track/7KbwMogIfW0pTAa0LxpnDJ",0,"4/22/2025","Complete","Club Restricted","Accepted","- SIGMA MALE TIKTOK","","9/4/2025 2:03pm","",""
"Phuture Collective","wiley - work",10000,2440,70,400,"https://open.spotify.com/track/1ay5juunmlFwaZhEXsl1YG?si=fe9760c8473e492a&nd=1&dlsi=705bd5c451f14b56",0,"4/22/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/11/2025 6:59pm","",""
"Phuture Collective","c8o - meds",10000,-341,167,1063,"https://open.spotify.com/track/0LjmSYBlNutmshhq9Pq4sr",0,"4/15/2025","Complete","Club Restricted","Accepted","- SIGMA MALE TIKTOK MUSIC","","6/19/2025 1:52am","",""
"Phuture Collective","babsy - just wanna",10000,10000,0,0,"https://open.spotify.com/track/28G13oLzoa9VMzTmAciDiq?si=1c52926bcfc54879",0,"3/11/2025","Cancelled","Club Restricted","","","","3/11/2025 11:03pm","",""
"Phuture Collective","Noer the Boy - Wait What",10000,10000,0,0,"https://open.spotify.com/track/3YkJWJffNJdZENOSz0ESDq",0,"12/2/2024","Complete","Club Restricted","Accepted","- MOST POPULAR TIKTOK PHONKS","Artist and campaign still not showing in SFA","2/25/2025 10:43pm","",""
"Phuture Collective","launchsix - traumacore",10000,728,0,258,"https://open.spotify.com/track/4PPJRgZTW9xqTXYz9LM3LU",0,"7/12/2024","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/10/2024 5:30pm","",""
"ILLUS","Wax'a'don - Dead People",10000,10000,0,0,"https://open.spotify.com/track/2OygSE4PXPYBtb9HgwLtDp",0,"7/7/2025","Active","Club Restricted","Accepted","- 50 cent [NEW]","Adding 10K more to existing campaign","7/6/2025 6:10pm","",""
"ILLUS","Wax'a'don - Dead People",20000,-3130,460,2770,"https://open.spotify.com/track/2OygSE4PXPYBtb9HgwLtDp",0,"4/11/2025","Complete","Club Restricted","Accepted","- 50 Cent As Melhores","","5/15/2025 1:25pm","",""
"Riddim Network","Andres aka DRE - MI PADRE",10000,-1045,301,2270,"https://open.spotify.com/track/7222SDoPkwXdDmwmkfRUMa?si=832def4c990d4de4",0,"6/3/2025","Complete","Club Restricted","Accepted","- frank ocean best songs [NEW]","","7/10/2025 7:36am","",""
